Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-12-08;01:00:00 - 01:30:00;N-634;[N-634] 11-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 60,700, N-634 pk 62,000;Lento SAN SEBASTIÁN;5;18;0;0;56,3;22;1;23;
2025-12-08;01:00:00 - 01:30:00;N-634;[N-634] 11-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 60,700, N-634 pk 62,000;Lento SANTANDER;1;29;1;0;64,84;31;0;31;
2025-12-08;01:00:00 - 01:30:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Central LASARTE-ORIA;0;0;11;2;106,15;13;0;13;
2025-12-08;01:00:00 - 01:30:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Central VITORIA-GASTEIZ;0;0;4;0;100;4;0;4;
2025-12-08;01:00:00 - 01:30:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Lento VITORIA-GASTEIZ;0;15;58;5;95,83;36;42;78;
2025-12-08;01:00:00 - 01:30:00;N-I;[N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800;Lento LASARTE-ORIA;0;5;94;4;99,85;72;31;103;
2025-12-08;01:00:00 - 01:30:00;GI-2130;[GI-2130] 132-ETD NAVARRA-TOLOSA, GI-2130 pk 11,700, GI-2130 pk 16,100;Lento TOLOSA;1;1;0;0;45;2;0;2;
2025-12-08;01:00:00 - 01:30:00;GI-2130;[GI-2130] 132-ETD NAVARRA-TOLOSA, GI-2130 pk 11,700, GI-2130 pk 16,100;Lento NAVARRA;2;3;0;0;49;5;0;5;
2025-12-08;01:00:00 - 01:30:00;GI-627;[GI-627] 89-ETD EIBAR-ARABA, GI-627 pk 37,000, GI-627 pk 39,400;Lento EIBAR;3;12;0;0;57;13;2;15;
2025-12-08;01:00:00 - 01:30:00;GI-627;[GI-627] 89-ETD EIBAR-ARABA, GI-627 pk 37,000, GI-627 pk 39,400;Lento ARABA;1;14;0;0;62,33;15;0;15;
2025-12-08;01:00:00 - 01:30:00;GI-2132;[GI-2132] 9101-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 0,500;Central LASARTE-ORIA;0;5;1;0;70,83;5;1;6;
2025-12-08;01:00:00 - 01:30:00;GI-2132;[GI-2132] 9101-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 0,500;Lento LASARTE-ORIA;0;0;0;0;0,0;0;0;0;
2025-12-08;01:00:00 - 01:30:00;GI-2132;[GI-2132] 9101-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 0,500;Lento ASTIGARRAGA;0;12;5;0;75,29;16;1;17;
2025-12-08;01:00:00 - 01:30:00;GI-636;[GI-636] 252-ETD IRUN-PASAIA, GI-636 pk 2,600, GI-636 pk 4,500;Central IRUN;0;22;33;0;86;53;2;55;
2025-12-08;01:00:00 - 01:30:00;GI-636;[GI-636] 252-ETD IRUN-PASAIA, GI-636 pk 2,600, GI-636 pk 4,500;Lento PASAIA;0;39;36;0;81,8;73;2;75;
2025-12-08;01:00:00 - 01:30:00;GI-627;[GI-627] 127-ETD ARABA-EIBAR, GI-627 pk 39,400, GI-627 pk 44,500;Lento EIBAR;0;11;2;0;70,38;12;1;13;
