Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 08/12/2025 ; 01:00 ; 00043 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00041 ; 00004 ; 00013 ; 00002 ; 00000 ; 00000
00001 ; 08/12/2025 ; 02:00 ; 00051 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00002 ; 00016 ; 00002 ; 00000 ; 00000
00001 ; 08/12/2025 ; 03:00 ; 00019 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00002 ; 00007 ; 00003 ; 00000 ; 00000
00001 ; 08/12/2025 ; 04:00 ; 00016 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00002 ; 00008 ; 00002 ; 00000 ; 00000
00001 ; 08/12/2025 ; 05:00 ; 00012 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00001 ; 00008 ; 00002 ; 00000 ; 00000
00001 ; 08/12/2025 ; 06:00 ; 00041 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00026 ; 00001 ; 00013 ; 00001 ; 00000 ; 00000
00001 ; 08/12/2025 ; 07:00 ; 00037 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00032 ; 00002 ; 00025 ; 00001 ; 00000 ; 00000
00001 ; 08/12/2025 ; 08:00 ; 00070 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00047 ; 00007 ; 00037 ; 00003 ; 00000 ; 00000
00001 ; 08/12/2025 ; 09:00 ; 00126 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00084 ; 00008 ; 00057 ; 00003 ; 00000 ; 00000
00001 ; 08/12/2025 ; 10:00 ; 00204 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00106 ; 00007 ; 00052 ; 00003 ; 00000 ; 00000
00001 ; 08/12/2025 ; 11:00 ; 00364 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00158 ; 00006 ; 00074 ; 00004 ; 00000 ; 00000
00001 ; 08/12/2025 ; 12:00 ; 00424 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00213 ; 00006 ; 00116 ; 00002 ; 00000 ; 00000
00001 ; 08/12/2025 ; 13:00 ; 00436 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00272 ; 00006 ; 00134 ; 00007 ; 00000 ; 00000
00001 ; 08/12/2025 ; 14:00 ; 00425 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00282 ; 00010 ; 00146 ; 00004 ; 00000 ; 00000
00001 ; 08/12/2025 ; 15:00 ; 00327 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00243 ; 00008 ; 00101 ; 00006 ; 00000 ; 00000
00001 ; 08/12/2025 ; 16:00 ; 00268 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00203 ; 00008 ; 00097 ; 00004 ; 00000 ; 00000
00001 ; 08/12/2025 ; 17:00 ; 00367 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00246 ; 00006 ; 00134 ; 00002 ; 00000 ; 00000
00001 ; 08/12/2025 ; 18:00 ; 00441 ; 00015 ; 00000 ; 00000 ; 00000 ; 00000 ; 00332 ; 00011 ; 00159 ; 00004 ; 00000 ; 00000
00001 ; 08/12/2025 ; 19:00 ; 00454 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00306 ; 00010 ; 00134 ; 00003 ; 00000 ; 00000
00001 ; 08/12/2025 ; 20:00 ; 00383 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00301 ; 00010 ; 00104 ; 00004 ; 00000 ; 00000
00001 ; 08/12/2025 ; 21:00 ; 00296 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00221 ; 00007 ; 00082 ; 00005 ; 00000 ; 00000
00001 ; 08/12/2025 ; 22:00 ; 00199 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00156 ; 00009 ; 00069 ; 00006 ; 00000 ; 00000
00001 ; 08/12/2025 ; 23:00 ; 00121 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00080 ; 00008 ; 00029 ; 00003 ; 00000 ; 00000
00001 ; 08/12/2025 ; 24:00 ; 00054 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00027 ; 00001 ; 00012 ; 00002 ; 00000 ; 00000
00001 ; 09/12/2025 ; 01:00 ; 00021 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00015 ; 00001 ; 00007 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2025 ; 02:00 ; 00018 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00002 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2025 ; 03:00 ; 00013 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00001 ; 00004 ; 00001 ; 00000 ; 00000
00001 ; 09/12/2025 ; 04:00 ; 00011 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00002 ; 00005 ; 00001 ; 00000 ; 00000
00001 ; 09/12/2025 ; 05:00 ; 00041 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00016 ; 00003 ; 00011 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2025 ; 06:00 ; 00133 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00066 ; 00004 ; 00036 ; 00000 ; 00000 ; 00000
00001 ; 09/12/2025 ; 07:00 ; 00186 ; 00020 ; 00000 ; 00000 ; 00000 ; 00000 ; 00123 ; 00016 ; 00106 ; 00004 ; 00000 ; 00000
00001 ; 09/12/2025 ; 08:00 ; 00638 ; 00040 ; 00000 ; 00000 ; 00000 ; 00000 ; 00573 ; 00023 ; 00380 ; 00013 ; 00000 ; 00000
00001 ; 09/12/2025 ; 09:00 ; 00724 ; 00049 ; 00000 ; 00000 ; 00000 ; 00000 ; 00667 ; 00044 ; 00358 ; 00016 ; 00000 ; 00000
00001 ; 09/12/2025 ; 10:00 ; 00655 ; 00057 ; 00000 ; 00000 ; 00000 ; 00000 ; 00503 ; 00046 ; 00275 ; 00012 ; 00000 ; 00000
00001 ; 09/12/2025 ; 11:00 ; 00675 ; 00058 ; 00000 ; 00000 ; 00000 ; 00000 ; 00421 ; 00043 ; 00209 ; 00010 ; 00000 ; 00000
