n_clusters,n_noise,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,modelo,params,min_cluster_size,score_global
2,5,0.0005294927459493805,0.2829966411867431,1623.8607626269088,1.4627113332590351,DBSCAN,"{'eps': 0.5158, 'min_samples': 16}",2401,0.2829966411867431
4,0,0.0,0.25142244785850426,1441.6225441032193,1.4282138513769713,KMeans,{'n_clusters': 4},1365,0.25142244785850426
3,0,0.0,0.24442655847735215,1550.5772007404757,1.5612663418167922,KMeans,{'n_clusters': 3},2402,0.24442655847735215
3,0,0.0,0.24016076973399816,1220.4138544022037,1.4109292051333535,Agglomerative,"{'n_clusters': 3, 'linkage': 'average'}",826,0.24016076973399816
7,0,0.0,0.23130468668051643,1208.2717468268252,1.4953016517285103,KMeans,{'n_clusters': 7},992,0.23130468668051643
6,0,0.0,0.23052653723794078,1254.2774919505407,1.5414292361960662,KMeans,{'n_clusters': 6},993,0.23052653723794078
4,0,0.0,0.22923999218545232,1298.950782627697,1.4374689244606067,Agglomerative,"{'n_clusters': 4, 'linkage': 'average'}",826,0.22923999218545232
5,0,0.0,0.2272341406772821,1156.6159266641132,1.4328521980652722,Agglomerative,"{'n_clusters': 5, 'linkage': 'average'}",587,0.2272341406772821
5,0,0.0,0.2235236014121616,1308.5881710318758,1.4760961909465977,KMeans,{'n_clusters': 5},1254,0.2235236014121616
3,0,0.0,0.22051908936670253,1299.4346794999192,1.507056899070352,Agglomerative,"{'n_clusters': 3, 'linkage': 'ward'}",1341,0.22051908936670253
6,0,0.0,0.21943278341813194,1062.1611216400881,1.3433064175885434,Agglomerative,"{'n_clusters': 6, 'linkage': 'average'}",325,0.21943278341813194
7,0,0.0,0.21783512295027513,1073.177384246689,1.451780493589612,Agglomerative,"{'n_clusters': 7, 'linkage': 'ward'}",587,0.21783512295027513
7,0,0.0,0.20960369722642594,922.0049024695127,1.3968478488910099,Agglomerative,"{'n_clusters': 7, 'linkage': 'average'}",146,0.20960369722642594
6,0,0.0,0.2038117083738876,1078.6682658173247,1.620077083719071,Agglomerative,"{'n_clusters': 6, 'linkage': 'ward'}",587,0.2038117083738876
5,0,0.0,0.19909689619852278,1135.5442482217054,1.6635648930081532,Agglomerative,"{'n_clusters': 5, 'linkage': 'ward'}",1146,0.19909689619852278
4,0,0.0,0.1943715212518694,1186.3362327220252,1.5391889113320119,Agglomerative,"{'n_clusters': 4, 'linkage': 'ward'}",1146,0.1943715212518694
4,0,0.0,0.1939934737294513,1169.4915140288458,1.7082346530227062,Agglomerative,"{'n_clusters': 4, 'linkage': 'complete'}",1098,0.1939934737294513
5,0,0.0,0.19030944456006818,1174.1235464868228,1.5860215010308265,Agglomerative,"{'n_clusters': 5, 'linkage': 'complete'}",1098,0.19030944456006818
7,0,0.0,0.18344845489650521,1034.0019866777873,1.5612151432888666,Agglomerative,"{'n_clusters': 7, 'linkage': 'complete'}",585,0.18344845489650521
6,0,0.0,0.18091267473951447,1059.7046874184116,1.576586779360163,Agglomerative,"{'n_clusters': 6, 'linkage': 'complete'}",585,0.18091267473951447
3,0,0.0,0.1453208109463324,757.4423105200191,2.0693138116348453,Agglomerative,"{'n_clusters': 3, 'linkage': 'complete'}",1098,0.1453208109463324
