n_clusters,n_noise,noise_ratio,silhouette,calinski_harabasz,davies_bouldin,modelo,params,min_cluster_size
2,5,0.0005294927459493805,0.285161096167496,1636.8743822083602,1.4623380744515455,DBSCAN,"{'eps': 0.5158, 'min_samples': 16}",2401
4,0,0.0,0.253515914887656,1438.381199692101,1.4190010895704814,KMeans,{'n_clusters': 4},1365
3,0,0.0,0.24487235289370557,1244.4446636140856,1.3998282342778683,Agglomerative,"{'n_clusters': 3, 'linkage': 'average'}",826
3,0,0.0,0.24396385454267483,1524.1542617572632,1.5626348578215348,KMeans,{'n_clusters': 3},2402
6,0,0.0,0.23216162153126715,1258.6746214808047,1.5306063855911622,KMeans,{'n_clusters': 6},992
7,0,0.0,0.2316840372448978,1207.6927755488668,1.4890577378319603,KMeans,{'n_clusters': 7},951
5,0,0.0,0.22853448381452704,1164.5072115626667,1.4172999484002102,Agglomerative,"{'n_clusters': 5, 'linkage': 'average'}",587
4,0,0.0,0.22686342394958048,1292.4201985135408,1.4445393749127553,Agglomerative,"{'n_clusters': 4, 'linkage': 'average'}",826
6,0,0.0,0.2261034430196337,1096.4219460818167,1.3113827738172525,Agglomerative,"{'n_clusters': 6, 'linkage': 'average'}",325
5,0,0.0,0.22213772043758773,1306.960885971706,1.4834615384318597,KMeans,{'n_clusters': 5},1254
3,0,0.0,0.22107357215268794,1304.5983563108734,1.4933539494966297,Agglomerative,"{'n_clusters': 3, 'linkage': 'ward'}",1341
7,0,0.0,0.2186264341053252,1070.5409728534203,1.4464710584893197,Agglomerative,"{'n_clusters': 7, 'linkage': 'ward'}",587
7,0,0.0,0.21690806457068612,943.7192689516756,1.3511202067392607,Agglomerative,"{'n_clusters': 7, 'linkage': 'average'}",146
6,0,0.0,0.2064154776156854,1089.9205366325898,1.6124717238402881,Agglomerative,"{'n_clusters': 6, 'linkage': 'ward'}",587
5,0,0.0,0.20133004991801012,1145.3600540064294,1.6577113594131112,Agglomerative,"{'n_clusters': 5, 'linkage': 'ward'}",1146
4,0,0.0,0.19541184222935973,1172.5190115664739,1.696353942070168,Agglomerative,"{'n_clusters': 4, 'linkage': 'complete'}",1098
4,0,0.0,0.19528260217752022,1185.3866179750676,1.5237293925164017,Agglomerative,"{'n_clusters': 4, 'linkage': 'ward'}",1146
5,0,0.0,0.19241413837088125,1188.4414147337252,1.5701806780247023,Agglomerative,"{'n_clusters': 5, 'linkage': 'complete'}",1098
7,0,0.0,0.18982796635193994,1060.9896799428727,1.5459318928461325,Agglomerative,"{'n_clusters': 7, 'linkage': 'complete'}",585
6,0,0.0,0.18349059933384188,1065.2495026291213,1.5599544836483534,Agglomerative,"{'n_clusters': 6, 'linkage': 'complete'}",585
3,0,0.0,0.14717969256423413,762.3521206760191,2.0544843265069375,Agglomerative,"{'n_clusters': 3, 'linkage': 'complete'}",1098
